canonical_paper_id,title,year,language,journal_or_source,doi,mapped_pdf_path,mapped_pdf_sha256,pdf_mapping_status,pdf_mapping_confidence,pdf_match_method,has_reader,has_paper_card,read_status,suggested_for_batch_03,notes
KRD0001,CNKI query bucket: 石漠化 + Google Earth Engine/GEE + 时空演变,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0002,CNKI query bucket: 石漠化 + 深度学习/语义分割/DeepLabV3+/U-Net,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0003,CNKI query bucket: 石漠化 + 裸岩率/基岩裸露率 + 遥感,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0004,CNKI query bucket: 石漠化 + 遥感 + 信息提取,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0005,CNKI query bucket: 石漠化 + 随机森林/支持向量机/机器学习,2000-2026,Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0006,"Google Scholar query bucket: ""bare rock fraction"" ""karst"" ""remote sensing""",2000-2026,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0007,"Google Scholar query bucket: ""rocky desertification"" ""remote sensing"" ""classification""",2000-2026,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0008,WoS/Scopus query bucket: TOPIC=(karst rocky desertification) AND (classification OR extraction OR mapping OR monitoring),2000-2026,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0009,Long-term unreasonable land use and exposed bedrock in karst rocky desertification areas (Wang et al. 2004),2004,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0010,Karst rocky desertification and socio-economic constraints in Southwest China (Wang and Li 2007),2007,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0011,Extraction of rocky desertification information from remote sensing data (Hu et al. 2010),2010,Chinese,,,docs/literature/pdfs/remote_sensing_only/2023_RemoteSens_15_3056_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,a21fd900712d96465db9cbdc3815cdbd16a77ed8079d60179def91eb2467f6fc,needs_manual_check,0.74,low_confidence_pdf_filename_similarity,no,no,unread_no_pdf,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0012,一种基于多光谱遥感影像的喀斯特地区裸岩率的计算方法初探,2010,Chinese,遥感/工程应用中文期刊（万方）,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0013,石漠化遥感评价因子提取研究 / Remote sensing of indicators for evaluating karst rocky desertification,2011,Chinese,生态学相关期刊/中国生态系统研究网络存档,,docs/literature/pdfs/package_2000_2026/CN009_Remote_sensing_of_indicators_for_evaluating_karst_rocky_dese.pdf,01595d8ef7a3bc338c7987fc0bf6f3577f360fccd8c0cee3aae916d0429d2ddd,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0014,"Use of NDVI, KRDSI and LCA for rocky desertification extraction (Xiong et al. 2013)",2013,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0015,Assessing land degradation and desertification using vegetation index data: current frameworks and future directions,2014,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0016,Is Forest Restoration in the Southwest China Karst Promoted Mainly by Climate Change or Human-Induced Factors?,2014,,background,10.3390/rs6109895,docs/literature/pdfs/remote_sensing_only/2014_RemoteSens_6_9895_Is_Forest_Restoration_in_the_Southwest_China_Karst_Promoted_.pdf,df2115acc6afe47c8d856b3ab2d9d6e95ade4b469eda32a3d5c0647693b97575,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0017,Decision tree and fuzzy maximum likelihood classification for KRD (Li and Wu 2015),2015,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0018,Discussion on classification and grading of karst rocky desertification in Guizhou (Zhang and Wang 2015),2015,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0019,Fully Convolutional Networks for Semantic Segmentation,2015,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0020,Monitoring the recent trend of aeolian desertification using Landsat TM and Landsat 8 imagery on the northeast Qinghai-Tibet Plateau,2015,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0021,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0022,Linear spatial-spectral mixture model,2016,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0023,Quantitative Estimation of Carbonate Rock Fraction in Karst Regions Based on Spectral Feature Analysis,2016,,closely_related,10.3390/rs8010068,docs/literature/pdfs/remote_sensing_only/2016_RemoteSens_8_68_Quantitative_Estimation_of_Carbonate_Rock_Fraction_in_Karst_.pdf,0040564bb81c343fc0f817eed08cc9b233c597b3200c72dac9d4948d2d9b2128,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0024,Kernel fully constrained least squares for hyperspectral image classification/unmixing (Liu et al. 2017),2017,English/Chinese,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0025,Analysis of Landsat-8 OLI Imagery for Estimating Exposed Bedrock Fractions in Typical Karst Regions of Southwest China,2018,English,closely_related,10.3390/rs10091321,docs/literature/pdfs/remote_sensing_only/2018_RemoteSens_10_1321_Analysis_of_Landsat-8_OLI_Imagery_for_Estimating_Exposed_Bed.pdf,c7b343af86ddb10472183d14bddde33e03128d2b8147f5128aa417d1447ca912,mapped,0.95,pdf_filename_title_similarity,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0026,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation / DeepLabV3+,2018,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0027,面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省……为例,2018,Chinese,地质力学学报,10.12090/j.issn.1006-6616.2018.24.02.028,docs/literature/pdfs/package_2000_2026/面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省大方地区为例_周迪.pdf,b810f6e5c6a405987dd4fcaf3d107dc4f8f89f6e064802c36670e809091cfbe8,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0028,Comparing Remote Sensing Methods for Monitoring Karst Rocky Desertification at Sub-Pixel Scales in a Highly Heterogeneous Karst Region,2019,English,Scientific Reports,10.1038/s41598-019-49730-9,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0029,Spectral variability in hyperspectral unmixing: recent advances and future trends,2019,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0030,The Spatial Distribution Pattern of Rock in Rocky Desertification Area based on Unmanned Aerial Vehicle Imagery and Object-oriented Classification Method,2020,English/Chinese,地球信息科学学报 / Journal of Geo-information Science,10.12082/dqxxkx.2020.190744,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0031,云南省建水县石漠化修复模式评价,2020,Chinese,北京大学学报(自然科学版),,docs/literature/pdfs/package_2000_2026/云南省建水县石漠化修复模式评价_肖林颖.caj.pdf,58f38493165d01e266969dd7265e99d78a20acfab250335dca496bfe36526435,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0032,石漠化地区遥感影像信息提取方法综述,2020,Chinese,安全与环境工程,10.13578/j.cnki.issn.1671-1556.2020.03.019,docs/literature/pdfs/package_2000_2026/石漠化地区遥感影像信息提取方法综述_杨董琳.pdf,64bba01d6d54a3ed25ad00b4276e4709b8aba0d2d0c4f3437bde103a322c6ab7,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0033,Extracting Information on Rocky Desertification from Satellite Images: A Comparative Study,2021,English,core,10.3390/rs13132497,docs/literature/pdfs/package_2000_2026/EN001_Extracting_Information_on_Rocky_Desertification_from_Satelli.pdf; docs/literature/pdfs/package_2021_2026/EN01_Extracting_Information_on_Rocky_Desertification_from_Satellite_Images_A_Comparative_Study.pdf; docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2497_Pu_Extracting_Information_Rocky_Desertification.pdf,9c2ddd014243622f96e83c6e4eef33bad0b6003b041f06c11130803aff51d645,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0034,How Can We Realize Sustainable Development Goals in Rocky Desertified Regions by Enhancing Crop Yield with Reduction of Environmental Risks?,2021,,background,10.3390/rs13091614,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0035,Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Seasonal Characteristic,2021,English,core,10.3390/rs13152935,docs/literature/pdfs/package_2021_2026/EN02_Optimization_of_Rocky_Desertification_Classification_Model_Based_on_Vegetation_Type_and_Se.pdf; docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2935_Optimization_of_Rocky_Desertification_Classification_Model_B.pdf,a694a3d72eef12ba5ca3f4a31823394d65247c8c30193a8a191c9383fcab205a,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0036,Spectral analysis of seasonal rock and vegetation changes for detecting karst rocky desertification in southwest China,2021,English,International Journal of Applied Earth Observation and Geoinformation,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0037,基于多时相Sentinel-2遥感数据的石漠化程度识别方法研究,2021,Chinese,中文学位/期刊检索结果,,docs/literature/pdfs/package_2021_2026/基于多时相Sentinel-2遥感数据的石漠化程度识别方法研究_徐瑞.pdf,a909c057eb10db926a42ba5f27f2461f27f22d4bc6cc9436aa9ec36fdebc5256,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0038,石漠化遥感信息提取方法进展,2021,Chinese,应用生态学报（万方/百度学术检索结果）,10.3969/j.issn.0255-8297.2021.06.007,docs/literature/pdfs/package_2021_2026/石漠化遥感信息提取方法进展.pdf,67bc22111b1acda58d50bf9978b67c460d86c0ab6eb6ba0f92f6288142c718ff,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0039,遥感植被指数增强石漠化信息研究,2021,Chinese,中文期刊（开放检索页）,,docs/literature/pdfs/package_2000_2026/遥感植被指数增强石漠化信息研究_叶杰.pdf; docs/literature/pdfs/package_2021_2026/遥感植被指数增强石漠化信息研究.pdf,3e1545305911f6e58a332bdd2eba9460e85bfa1db86c454be8bd7d291886065f; df263acc72b22858c607ad6ac0d086bf8063b4b64c510d33b3b873ce933386b3,mapped,1.00,database_pdf_path,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0040,A novel-optimal monitoring index of rocky desertification based on Sentinel-2 MSI data,2022,English,Geocarto International or related Taylor & Francis outlet,10.1080/19475705.2022.2092038,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0041,Extraction of rocky desertification information in karst area by using different multispectral sensor data and multiple endmember spectral mixture analysis method,2022,English,Frontiers in Environmental Science,10.3389/fenvs.2022.996708,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0042,Information Extraction and Prediction of Rocky Desertification Based on Land Use Changes and FLUS Model,2022,English,Sustainability,10.3390/su142013385,docs/literature/pdfs/package_2000_2026/EN019_Information_Extraction_and_Prediction_of_Rocky_Desertificati.pdf,a8c2ac19810950f876037d67d252bf7edd09c4fd5ee9b58a097312332d923001,needs_manual_check,0.73,low_confidence_pdf_filename_similarity,no,no,unread_no_pdf,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0043,"Machine learning algorithm for estimating karst rocky desertification in a peak-cluster depression basin in southwest Guangxi, China",2022,English,Scientific Reports,10.1038/s41598-022-21684-5,docs/literature/pdfs/package_2021_2026/EN05_Machine_learning_algorithm_for_estimating_karst_rocky_desertification_in_a_peak-cluster_de.pdf,9bd8b9d5e158b0a65da39d6f5203291343f25f549c63eede806e7704c44cb11f,needs_manual_check,0.80,low_confidence_pdf_filename_similarity,no,no,unread_no_pdf,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0044,Spatiotemporal Evolution Analysis and Future Scenario Prediction of Rocky Desertification in a Subtropical Karst Region,2022,English,core,10.3390/rs14020292,docs/literature/pdfs/remote_sensing_only/2022_RemoteSens_14_292_Spatiotemporal_Evolution_Analysis_and_Future_Scenario_Predic.pdf,e5bf63dcbc7523203fdcc1c66c08f4feb12f6276a03c4c867c1c96293700164e,mapped,0.95,pdf_filename_title_similarity,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0045,The Changes of Spatiotemporal Pattern of Rocky Desertification and Its Dominant Driving Factors in Typical Karst Mountainous Areas under the Background of Global Change,2022,,core,10.3390/rs14102351,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0046,Extraction of Rocky Desertification Information in the Karst Area Based on the Red-NIR-SWIR Spectral Feature Space,2023,English,core,10.3390/rs15123056,docs/literature/pdfs/remote_sensing_only/2023_RemoteSens_15_3056_Extraction_of_Rocky_Desertification_Information_in_the_Karst.pdf,a21fd900712d96465db9cbdc3815cdbd16a77ed8079d60179def91eb2467f6fc,mapped,0.95,pdf_filename_title_similarity,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0047,"Monitoring and Classification of Karst Rocky Desertification with Landsat 8 OLI Images Using Spectral Indices, Multi-Endmember Spectral Mixture Analysis and Support Vector Machine",2023,English,International Journal of Engineering and Geosciences,10.26833/ijeg.1149738,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0048,Monitoring the evolution process of karst desertification and distinguishing human and climate impacts,2023,English,Environmental Science and Pollution Research,10.1007/s11356-023-30920-y,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0049,基于GEE的曲靖石漠化时空演变过程分析,2023,Chinese,西南林业大学学报（自然科学）,10.11929/j.swfu.202109006,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0050,基于机器学习算法的喀斯特峰丛洼地石漠化程度评估,2023,Chinese,中国水土保持科学,10.16843/j.sswc.2023.05.006,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0051,A Rocky Desertification Land Extraction Method Based on Spectral Texture Scattering Terrain Feature Set and Multiscale Segmentation,2024,English,IEEE,,docs/literature/pdfs/package_2000_2026/A_Rocky_Desertification_Land_Extraction_Method_Based_on_Spectral-Texture-Scattering-Terrain_Multisource_Features_With_Time_Series.pdf,8521a66ed80896d0699d1cadcb30fb3d8dd6f302207de03b138831747ee0a87d,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0052,Classification of Karst Rocky Desertification Levels in Jinsha County Using a Feature Space Method Based on SDGSAT-1 Multispectral Data,2024,English,core,10.3390/rs16244786,docs/literature/pdfs/remote_sensing_only/2024_RemoteSens_16_4786_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf,34e1fd60144a0f3b35f1ff5aab06b56368e55979f6b7aa3815601d37bc8275cc,mapped,0.95,pdf_filename_title_similarity,no,no,unread_pdf_mapped,yes,Canonical PDF mapping; original records and PDFs were not modified.
KRD0053,Desertification and land degradation assessment through remote sensing: review or applied method papers,2024,English,,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0054,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI,2024,English,Geocarto International or related,10.1080/19475705.2024.2399659,docs/literature/pdfs/package_2000_2026/Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf; docs/literature/pdfs/package_2021_2026/Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,1883c42d45d708ad1283a50c9bd85828e8773425a25b7221f026931bc18d4045,mapped,1.00,database_pdf_path,yes,yes,full_reader,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0055,Identification and factor analysis of rocky desertification severity levels in large-scale karst areas based on deep learning image segmentation,2024,English,Ecological Indicators,10.1016/j.ecolind.2024.112565,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
KRD0056,Improving monitoring Karst rocky desertification using high-frequency Landsat time series,2024,English,Catena,,,,pdf_missing,0.00,no_pdf_match,no,no,unread_no_pdf,no,Canonical PDF mapping; original records and PDFs were not modified.
