paper_id,title,year,language,pdf_path,topic_group,method_group,readability_status,use_nature_reader_skill,reason_for_priority,notes
KRD0094,,,,docs/literature/pdfs/package_2000_2026/EN007_KRD_MESMA_SVM.pdf,lsmm_mesma_sma,MESMA;SMA;SVM,usable_with_caution,yes,KRD classification/information extraction; LSMM/SMA/MESMA; machine-learning classification,sampled_pages=first2+middle2+last2_or_available | page_count=13 | first_two_chars=10858 | sampled_chars=25345 | abstract=True | methods=True | results=True | figures_tables=True | references=False | chinese_mojibake=False | likely_scanned=False | title_missing_in_database
KRD0013,石漠化遥感评价因子提取研究 / Remote sensing of indicators for evaluating karst rocky desertification,2011,Chinese,docs/literature/pdfs/package_2000_2026/CN009_Remote_sensing_of_indicators_for_evaluating_karst_rocky_dese.pdf,rocky_desertification_classification,unknown,ready,yes,KRD classification/information extraction; Remote Sensing/KRD relevance,sampled_pages=first2+middle2+last2_or_available | page_count=15 | first_two_chars=11234 | sampled_chars=24872 | abstract=True | methods=True | results=True | figures_tables=True | references=True | chinese_mojibake=False | likely_scanned=False
KRD0057,Spatio-Temporal Evolution Characteristics and Driving Factors of Karst Rocky Desertification in Qujing City Based on GEE,2024,English,docs/literature/pdfs/package_2021_2026/EN12_Spatio-Temporal_Evolution_Characteristics_and_Driving_Factors_of_Karst_Rocky_Desertificati.pdf,dem_topography,GEE;time_series;DEM_ablation,ready,yes,KRD classification/information extraction; DEM/topographic factors,sampled_pages=first2+middle2+last2_or_available | page_count=17 | first_two_chars=8840 | sampled_chars=23869 | abstract=True | methods=True | results=True | figures_tables=True | references=True | chinese_mojibake=False | likely_scanned=False
KRD0033,Extracting Information on Rocky Desertification from Satellite Images: A Comparative Study,2021,English,docs/literature/pdfs/package_2000_2026/EN001_Extracting_Information_on_Rocky_Desertification_from_Satelli.pdf,rocky_desertification_classification,unknown,ready,yes,KRD classification/information extraction,sampled_pages=first2+middle2+last2_or_available | page_count=21 | first_two_chars=9391 | sampled_chars=27996 | abstract=True | methods=True | results=True | figures_tables=True | references=False | chinese_mojibake=False | likely_scanned=False
KRD0054,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI,2024,English,docs/literature/pdfs/package_2000_2026/Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,rocky_desertification_classification,feature_space;vegetation_index,ready,yes,KRD classification/information extraction,sampled_pages=first2+middle2+last2_or_available | page_count=19 | first_two_chars=4390 | sampled_chars=12128 | abstract=True | methods=True | results=True | figures_tables=True | references=False | chinese_mojibake=False | likely_scanned=False
KRD0035,Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Seasonal Characteristic,2021,English,docs/literature/pdfs/package_2021_2026/EN02_Optimization_of_Rocky_Desertification_Classification_Model_Based_on_Vegetation_Type_and_Se.pdf,machine_learning,unknown,ready,yes,KRD classification/information extraction; machine-learning classification,sampled_pages=first2+middle2+last2_or_available | page_count=23 | first_two_chars=9510 | sampled_chars=30064 | abstract=True | methods=True | results=True | figures_tables=True | references=False | chinese_mojibake=False | likely_scanned=False
KRD0062,基于无人机影像与Sentinel-2影像的基岩裸露率反演与石漠化程度评价,2024,Chinese,docs/literature/pdfs/package_2000_2026/基于无人机影像与Sentinel-2影像的基岩裸露率反演与石漠化程度评价_赵喆.pdf,bare_rock_fraction_fbr,DEM_ablation,ready,yes,FBR/bare-rock fraction; DEM/topographic factors,sampled_pages=first2+middle2+last2_or_available | page_count=77 | first_two_chars=1510 | sampled_chars=5663 | abstract=False | methods=True | results=True | figures_tables=True | references=True | chinese_mojibake=False | likely_scanned=False
KRD0095,,,,docs/literature/pdfs/package_2000_2026/EN009_Classification_of_Karst_Rocky_Desertification_Levels_in_Jins.pdf,machine_learning,unknown,usable_with_caution,yes,KRD classification/information extraction; machine-learning classification,sampled_pages=first2+middle2+last2_or_available | page_count=21 | first_two_chars=8046 | sampled_chars=20175 | abstract=True | methods=True | results=False | figures_tables=True | references=False | chinese_mojibake=False | likely_scanned=False | title_missing_in_database
KRD0051,A Rocky Desertification Land Extraction Method Based on Spectral Texture Scattering Terrain Feature Set and Multiscale Segmentation,2024,English,docs/literature/pdfs/package_2000_2026/A_Rocky_Desertification_Land_Extraction_Method_Based_on_Spectral-Texture-Scattering-Terrain_Multisource_Features_With_Time_Series.pdf,deep_learning_segmentation,DEM_ablation,ready,yes,KRD classification/information extraction; semantic segmentation baseline/model; DEM/topographic factors,sampled_pages=first2+middle2+last2_or_available | page_count=16 | first_two_chars=13602 | sampled_chars=37312 | abstract=True | methods=True | results=True | figures_tables=True | references=True | chinese_mojibake=False | likely_scanned=False
KRD0058,基于多源数据的石漠化地区裸岩信息提取和景观格局分析,2024,Chinese,docs/literature/pdfs/package_2000_2026/基于多源数据的石漠化地区裸岩信息提取和景观格局分析_张志慧.pdf,bare_rock_fraction_fbr,unknown,ready,yes,FBR/bare-rock fraction,sampled_pages=first2+middle2+last2_or_available | page_count=75 | first_two_chars=533 | sampled_chars=3348 | abstract=False | methods=True | results=True | figures_tables=True | references=False | chinese_mojibake=False | likely_scanned=False
KRD0068,RAP-Net: A Region Affinity Propagation-Guided Semantic Segmentation Network for Plateau Karst Landform Delineation,2025,English,docs/literature/pdfs/package_2021_2026/EN17_RAP-Net_A_Region_Affinity_Propagation-Guided_Semantic_Segmentation_Network_for_Plateau_Kar.pdf,deep_learning_segmentation,unknown,ready,yes,semantic segmentation baseline/model,sampled_pages=first2+middle2+last2_or_available | page_count=22 | first_two_chars=8161 | sampled_chars=23668 | abstract=True | methods=True | results=False | figures_tables=True | references=True | chinese_mojibake=False | likely_scanned=False
KRD0076,顾及Vis-NIR光谱指数时序统计特征的红层荒漠化场景分类,2025,Chinese,docs/literature/pdfs/package_2000_2026/顾及Vis-NIR光谱指数时序统计特征的红层荒漠化场景分类_陈震.pdf,machine_learning,RF;SVM;vegetation_index,ready,yes,machine-learning classification,sampled_pages=first2+middle2+last2_or_available | page_count=10 | first_two_chars=5408 | sampled_chars=21290 | abstract=True | methods=True | results=True | figures_tables=True | references=False | chinese_mojibake=False | likely_scanned=False
KRD0064,Fine-Grained Land Use Remote Sensing Mapping in Karst Mountain Areas Using Very High Resolution Images,2025,English,docs/literature/pdfs/package_2021_2026/EN18_Fine-Grained_Land_Use_Remote_Sensing_Mapping_in_Karst_Mountain_Areas_Using_Very_High_Resol.pdf,machine_learning,unknown,ready,yes,machine-learning classification; Remote Sensing/KRD relevance,sampled_pages=first2+middle2+last2_or_available | page_count=20 | first_two_chars=8084 | sampled_chars=22710 | abstract=True | methods=True | results=True | figures_tables=True | references=True | chinese_mojibake=False | likely_scanned=False
KRD0091,,,,docs/literature/pdfs/package_2000_2026/EN003_Machine_learning_algorithm_for_estimating_karst_rocky_desert.pdf,machine_learning,unknown,usable_with_caution,yes,KRD classification/information extraction; machine-learning classification,sampled_pages=first2+middle2+last2_or_available | page_count=16 | first_two_chars=12085 | sampled_chars=31827 | abstract=False | methods=True | results=True | figures_tables=True | references=False | chinese_mojibake=False | likely_scanned=False | title_missing_in_database
KRD0092,,,,docs/literature/pdfs/package_2000_2026/EN004_Comparing_Remote_Sensing_Methods_for_Monitoring_Karst_Rocky_.pdf,rocky_desertification_classification,unknown,usable_with_caution,yes,KRD classification/information extraction; Remote Sensing/KRD relevance,sampled_pages=first2+middle2+last2_or_available | page_count=12 | first_two_chars=10981 | sampled_chars=24206 | abstract=False | methods=True | results=True | figures_tables=True | references=False | chinese_mojibake=False | likely_scanned=False | title_missing_in_database
